,종목코드,종목명,EPS,PER,BPS,PBR,주당배당금,배당수익률
375,018500,동원금속,389.0,3.91,1919.0,0.79,20,1.31
376,006040,동원산업,6237.0,4.71,74866.0,0.39,1100,3.74
377,014820,동원시스템즈,2194.0,19.01,26401.0,1.58,600,1.44
378,111380,동인기연,4321.0,4.25,21533.0,0.85,560,3.05
379,163560,동일고무벨트,689.0,11.52,15848.0,0.5,150,1.89
380,109860,동일금속,36.0,256.39,17698.0,0.52,400,4.33
381,032960,동일기연,592.0,19.31,17054.0,0.67,35,0.31
382,005290,동진쎄미켐,2476.0,13.67,15658.0,2.16,120,0.35
383,000020,동화약품,991.0,8.49,13413.0,0.63,180,2.14
384,241560,두산밥캣,9203.0,4.36,59457.0,0.67,1600,3.99
385,034020,두산에너빌리티,87.0,206.67,11113.0,1.62,0,0.0
386,131970,두산테스나,2853.0,12.65,20981.0,1.72,160,0.44
387,016740,두올,668.0,5.11,6856.0,0.5,120,3.51
388,203650,드림시큐리티,444.0,6.24,2104.0,1.32,0,0.0
389,223250,드림씨아이에스,160.0,24.16,2316.0,1.67,0,0.0
390,362990,드림인사이트,277.0,7.44,1568.0,1.31,0,0.0
391,192650,드림텍,227.0,41.06,6003.0,1.55,200,2.15
