종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"057880","푸른소나무","8790","0","0.00",,,,,"41","214.39","0","0.00"
"007330","푸른저축은행","8610","110","1.29","1340","6.43",,,"26884","0.32","650","7.55"
"093380","풍강","3565","-15","-0.42","582","6.13",,,"7640","0.47","200","5.61"
"023900","풍국주정","11310","-10","-0.09","672","16.83",,,"12319","0.92","100","0.88"
"371950","풍원정밀","11140","570","5.39",,,,,"2742","4.06","0","0.00"
"370090","퓨런티어","16090","930","6.13","923","17.43","774","20.79","5992","2.69","0","0.00"
"445180","퓨릿","8510","220","2.65","837","10.17",,,"4965","1.71","50","0.59"
"151910","퓨처코어","640","0","0.00",,,,,"189","3.39","0","0.00"
"220100","퓨쳐켐","20850","-500","-2.34",,,,,"2886","7.22","0","0.00"
"035200","프럼파스트","2805","75","2.75","167","16.80",,,"4459","0.63","50","1.78"
"334970","프레스티지바이오로직스","6660","20","0.30",,,,,"1633","4.08","0","0.00"
"321260","프로이천","2495","5","0.20","122","20.45","210","11.85","1308","1.91","20","0.80"
"053610","프로텍","31700","1250","4.11","2290","13.84","3848","8.24","31733","1.00","400","1.26"
"303360","프로티아","3055","50","1.66","38","80.39",,,"1827","1.67","0","0.00"
"377220","프롬바이오","1983","13","0.66",,,,,"2708","0.73","0","0.00"
"335810","프리시젼바이오","4410","-100","-2.22",,,,,"2758","1.60","0","0.00"
"053160","프리엠스","8510","130","1.55","137","62.12",,,"11112","0.77","50","0.59"
"405000","플라즈맵","2100","30","1.45",,,,,"399","5.26","0","0.00"
"041590","플래스크","789","0","0.00",,,,,"259","3.05","0","0.00"
"367000","플래티어","5080","80","1.60",,,,,"5244","0.97","0","0.00"
"075130","플랜티넷","2070","-5","-0.24","101","20.50",,,"4405","0.47","100","4.83"
"237820","플레이디","5700","50","0.88","225","25.33",,,"6338","0.90","0","0.00"
"023770","플레이위드","6970","-20","-0.29",,,,,"2958","2.36","0","0.00"
"019570","플루토스","380","3","0.80",,,,,"596","0.64","0","0.00"
"300080","플리토","19710","760","4.01",,,"838","23.52","838","23.52","0","0.00"
"032580","피델릭스","1284","24","1.90","32","40.13",,,"1509","0.85","0","0.00"
"051380","피씨디렉트","2675","15","0.56","50","53.50",,,"2791","0.96","100","3.74"
"241820","피씨엘","1974","-56","-2.76",,,,,"689","2.87","0","0.00"
"237750","피앤씨테크","5090","30","0.59","561","9.07",,,"11052","0.46","0","0.00"
"460940","피앤에스미캐닉스","13510","130","0.97","278","48.60",,,"1516","8.91","0","0.00"
"319660","피에스케이","29350","-750","-2.49","1813","16.19","3158","9.29","13552","2.17","200","0.68"
"031980","피에스케이홀딩스","54300","3000","5.85","2055","26.42","4628","11.73","15829","3.43","600","1.10"
"002230","피에스텍","4110","5","0.12","234","17.56",,,"7860","0.52","250","6.08"
"043370","피에이치에이","10890","160","1.49","3011","3.62","3142","3.47","36108","0.30","250","2.30"
"239890","피엔에이치테크","10190","130","1.29","605","16.84","1054","9.67","5022","2.03","0","0.00"
