선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,고4,HBP,희플,희타,병살,도실,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,볼넷%,삼진%,볼/삼,ISO,타수/홈런,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA,WAR
김규성      ,KIA   ,54,41,36,5,4,1,0,0,0,0,0,0,0,1,8,2,5,17,0,0,0.139,0.244,0.167,0.411,0.215,-0.35,12.2,41.5,0.29,0.028,,0.411,1.6,1.35,0.43,6.55,-0.46,0.215,-4.61,-0.35
박주홍      ,Hero  ,23,56,47,5,3,2,0,0,0,0,0,0,1,1,4,3,9,21,1,0,0.106,0.25,0.149,0.399,0.219,-0.61,16.1,37.5,0.43,0.043,,0.399,2.11,1.29,0.79,2.93,-0.27,0.219,-6.1,-0.61
이홍구      ,KT    ,37,58,55,9,8,0,0,1,1,0,1,1,4,0,4,5,2,28,0,0,0.164,0.19,0.218,0.408,0.177,-0.58,3.4,48.3,0.07,0.054,55,0.408,1.58,0.84,-1.39,-2.67,0,0.177,-8.53,-0.58
권민석      ,두산  ,33,15,14,3,1,2,0,0,0,0,0,0,0,0,8,1,1,7,0,0,0.214,0.267,0.357,0.624,0.281,-0.04,6.7,46.7,0.14,0.143,,0.624,1.4,3.44,1.06,11.81,0,0.281,-0.78,-0.04
최정민      ,KIA   ,39,19,15,5,5,0,0,0,0,1,0,0,1,3,5,1,3,7,2,1,0.333,0.474,0.333,0.807,0.406,0.08,15.8,36.8,0.43,0,,0.807,1.86,3.59,3.51,2.47,-0.99,0.406,1.17,0.08
송민섭      ,KT    ,122,65,48,11,11,0,0,0,0,0,0,5,0,1,39,7,12,22,15,0,0.229,0.383,0.229,0.612,0.323,0.3,18.5,33.8,0.54,0,,0.612,8.3,5.21,7.12,14.09,2.52,0.323,-0.88,0.3
조한민      ,한화  ,52,145,127,25,12,6,2,5,0,2,2,3,4,2,15,18,13,57,3,0,0.197,0.278,0.394,0.672,0.3,-0.19,9,39.3,0.23,0.197,25.4,0.672,13.43,3.27,12.76,5.56,-0.33,0.3,-5.07,-0.19
이병규      ,롯데  ,29,43,34,8,8,0,0,0,0,1,0,0,2,0,4,4,8,14,0,0,0.235,0.395,0.235,0.63,0.333,0.09,18.6,32.6,0.57,0,,0.63,3.61,3.48,5.1,-0.85,-0.01,0.333,-0.18,0.09
김성표      ,삼성  ,39,24,18,6,6,0,0,0,0,0,0,1,0,1,10,1,5,7,2,1,0.333,0.478,0.333,0.811,0.408,0.26,20.8,29.2,0.71,0,,0.811,3.69,7.12,4.48,8.14,-0.07,0.408,1.53,0.26
유서준      ,SSG   ,6,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.06,0,50,0,0,,0,0,0,-0.37,,0,0,-0.62,-0.06
이태훈      ,삼성  ,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06,0,50,0,0,,0,0,0,-0.37,,0,0,-0.62,-0.06
김민혁      ,두산  ,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.25,0,0.25,0.194,-0.09,25,25,1,0,,0.25,0.13,0.58,-0.07,1.81,0,0.194,-1.05,-0.09
이성곤      ,삼성  ,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.55,0,50,0,0,,0,0,0,-0.37,,0,0,-0.62,-0.55
신준우      ,Hero  ,56,51,42,7,4,3,0,0,0,3,1,2,1,1,7,4,4,21,0,0,0.167,0.28,0.238,0.518,0.258,-0.19,7.8,41.2,0.19,0.071,,0.518,3.09,2.14,2.57,4.93,-0.47,0.258,-3.7,-0.19
강태율      ,롯데  ,19,31,26,2,0,1,0,1,0,0,1,1,1,1,1,5,4,10,0,0,0.077,0.194,0.231,0.425,0.204,-0.27,12.9,32.3,0.4,0.154,26,0.425,1.01,1.01,0.02,0.36,-0.46,0.204,-3.79,-0.27
김도환      ,삼성  ,25,46,41,6,4,2,0,0,0,2,0,1,0,1,1,1,2,20,0,0,0.146,0.222,0.195,0.417,0.207,-0.37,4.4,43.5,0.1,0.049,,0.417,1.87,1.36,0.17,3.44,-0.46,0.207,-5.49,-0.37
김수환      ,Hero  ,13,44,41,9,5,2,0,2,0,0,1,1,2,0,5,5,2,17,0,0,0.22,0.25,0.415,0.665,0.286,-0.12,4.6,38.6,0.12,0.195,20.5,0.665,3.71,2.86,3.33,-0.16,0,0.286,-2.08,-0.12
김병희      ,KT    ,34,70,52,15,7,3,0,5,0,3,0,2,0,0,16,13,13,15,3,0,0.288,0.456,0.635,1.091,0.477,1.31,18.6,21.4,0.87,0.347,10.4,1.091,17.61,12.19,17.51,6.28,0.59,0.477,8.9,1.31
전병우      ,Hero  ,115,261,214,40,26,8,0,6,0,9,1,5,0,1,35,31,33,84,3,0,0.187,0.319,0.308,0.627,0.305,0.1,12.6,32.2,0.39,0.121,35.67,0.627,25.23,3.78,24.25,5.47,0.11,0.305,-7.84,0.1
배성근      ,롯데  ,78,109,93,19,14,4,0,1,0,0,0,2,1,0,21,9,14,36,1,0,0.204,0.308,0.28,0.588,0.287,-0.04,12.8,33,0.39,0.076,93,0.588,9.16,3.21,8.33,5.05,0.19,0.287,-5.08,-0.04
임지열      ,Hero  ,19,30,25,3,3,0,0,0,0,1,0,0,1,1,5,0,4,10,0,0,0.12,0.267,0.12,0.387,0.221,-0.33,13.3,33.3,0.4,0,,0.387,0.86,0.97,0.5,4.11,-0.46,0.221,-3.19,-0.33
이학주      ,삼성  ,66,174,155,32,20,8,0,4,0,1,0,4,3,2,17,20,14,61,1,0,0.206,0.276,0.335,0.611,0.282,-0.17,8,35.1,0.23,0.129,38.75,0.611,14.12,2.89,12.5,2.79,-0.74,0.282,-8.89,-0.17
박준태      ,Hero  ,27,58,46,9,6,3,0,0,0,2,0,0,0,0,10,4,10,16,1,0,0.196,0.362,0.261,0.623,0.321,0.09,17.2,27.6,0.62,0.065,,0.623,5.66,4.13,6.23,5.71,0.19,0.321,-0.9,0.09
김호은      ,LG    ,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.28,0,44.4,0,0,,0,0,0,-1.67,,0,0,-2.78,-0.28
장지승      ,한화  ,24,72,61,11,9,1,0,1,0,1,1,3,4,0,7,5,7,24,2,0,0.18,0.271,0.246,0.517,0.253,-0.41,9.7,33.3,0.29,0.066,61,0.517,4.15,1.97,3.26,0.73,0.39,0.253,-5.59,-0.41
허관회      ,한화  ,28,79,63,12,12,0,0,0,0,1,2,2,1,0,4,2,13,22,0,0,0.19,0.329,0.19,0.519,0.277,-0.19,16.5,27.8,0.59,0,,0.519,5.47,2.74,5.31,1.67,-0.01,0.277,-4.4,-0.19
지석훈      ,NC    ,28,43,34,5,4,1,0,0,0,1,1,1,0,0,6,2,7,12,0,0,0.147,0.302,0.176,0.478,0.259,-0.15,16.3,27.9,0.58,0.029,,0.478,2.69,2.42,2.2,4.54,-0.01,0.259,-3.09,-0.15
