산업별(1),수익현황별(1),2024.01,2024.02,2024.03,2024.04,2024.05,2024.06
의약품,납입자본이익률 (%),104.65,104.65,105.56,102.03,102.03,102.03
의약품,자기자본이익률 (%),7.12,7.12,7.14,4.91,4.91,4.91
의약품,총자본경상이익률 (%),5.9,5.9,5.91,4.51,4.51,4.51
의약품,매출액경상이익률 (%),11.98,11.98,12.05,11.72,11.72,11.72
의약품,매출액이익률 (%),9.33,9.33,9.4,9.44,9.44,9.44
의약품,매출액증가율 (%),11.71,11.71,10.71,5.86,5.86,5.86
비금속광물,회사수 (개),22,22,22,22,22,22
비금속광물,매출액 (백만원),10590025,10590025,10590025,10589644,10589644,10589644
비금속광물,영업이익 (백만원),847760,847760,847760,1045649,1045649,1045649
비금속광물,경상이익 (백만원),816539,816539,816539,1147119,1147119,1147119
비금속광물,당기순이익 (백만원),700668,700668,700668,892719,892719,892719
비금속광물,납입자본이익률 (%),95.01,95.01,95.01,120.32,120.32,120.32
비금속광물,자기자본이익률 (%),6.24,6.24,6.24,7.55,7.55,7.55
비금속광물,총자본경상이익률 (%),4.23,4.23,4.23,5.76,5.76,5.76
비금속광물,매출액경상이익률 (%),7.71,7.71,7.71,10.83,10.83,10.83
비금속광물,매출액이익률 (%),6.62,6.62,6.62,8.43,8.43,8.43
비금속광물,매출액증가율 (%),0.54,0.54,-0.23,-22.26,0.09,0.09
철강금속,회사수 (개),48,48,48,48,47,47
철강금속,매출액 (백만원),75962567,75962567,75962567,55009709,54994087,54994087
철강금속,영업이익 (백만원),6497043,6497043,6497043,3603801,3618792,3618792
철강금속,경상이익 (백만원),5590701,5590701,5590701,3049683,3055172,3055172
철강금속,당기순이익 (백만원),3030144,3030144,3030144,2367506,2643909,2643909
철강금속,납입자본이익률 (%),79.47,79.47,79.47,67.3,81.43,81.43
철강금속,자기자본이익률 (%),3.14,3.14,3.14,2.46,2.77,2.77
철강금속,총자본경상이익률 (%),4.27,4.27,4.27,2.43,2.45,2.45
철강금속,매출액경상이익률 (%),7.36,7.36,7.36,5.54,5.56,5.56
철강금속,매출액이익률 (%),3.99,3.99,3.99,4.3,4.81,4.81
철강금속,매출액증가율 (%),-23.51,-23.51,-23.51,-27.82,-27.84,-27.84
기계,회사수 (개),40,40,40,40,40,40
기계,매출액 (백만원),27693706,27693706,27693706,29652781,29652781,29652781
기계,영업이익 (백만원),1229068,1229068,1229068,1848009,1848009,1848009
기계,경상이익 (백만원),-484719,-484719,-484719,1669530,1669530,1669530
기계,당기순이익 (백만원),-625754,-625754,-625754,1434905,1434905,1434905
기계,납입자본이익률 (%),-12.71,-12.71,-12.71,28.52,28.52,28.52
기계,자기자본이익률 (%),-3,-3,-3,6.1,6.1,6.1
기계,총자본경상이익률 (%),-1.07,-1.07,-1.07,3.36,3.36,3.36
기계,매출액경상이익률 (%),-1.75,-1.75,-1.75,5.63,5.63,5.63
기계,매출액이익률 (%),-2.26,-2.26,-2.26,4.84,4.84,4.84
기계,매출액증가율 (%),19.41,19.41,19.41,6.64,7.13,7.13
전기전자,회사수 (개),58,58,59,59,61,61
전기전자,매출액 (백만원),391543051,391543051,393662396,344889385,344918818,344918818
전기전자,영업이익 (백만원),34672660,34672660,34981705,-16706143,-16699094,-16699094
전기전자,경상이익 (백만원),36415904,36415904,36716358,12171233,12228268,12228268
전기전자,당기순이익 (백만원),29419681,29419681,29650288,22865752,23003999,23003999
전기전자,납입자본이익률 (%),259.4,259.4,261.25,200.21,201.69,201.69
전기전자,자기자본이익률 (%),8.39,8.39,8.43,6.31,6.34,6.34
전기전자,총자본경상이익률 (%),7.12,7.12,7.16,2.17,2.18,2.18
전기전자,매출액경상이익률 (%),9.3,9.3,9.33,3.53,3.55,3.55
전기전자,매출액이익률 (%),7.51,7.51,7.53,6.63,6.67,6.67
전기전자,매출액증가율 (%),9.28,9.28,9.88,-8.76,-11.91,-11.91
의료·정밀기기,회사수 (개),8,8,8,8,8,8
의료·정밀기기,매출액 (백만원),4054919,4054919,4054919,1425083,1425083,1425083
의료·정밀기기,영업이익 (백만원),1353197,1353197,1353197,29477,29477,29477
의료·정밀기기,경상이익 (백만원),1484971,1484971,1484971,-95368,-95368,-95368
의료·정밀기기,당기순이익 (백만원),1106911,1106911,1106911,-212275,-212275,-212275
의료·정밀기기,납입자본이익률 (%),999.42,999.42,999.42,-158.66,-158.66,-158.66
의료·정밀기기,자기자본이익률 (%),23.53,23.53,23.53,-4.51,-4.51,-4.51
의료·정밀기기,총자본경상이익률 (%),26.46,26.46,26.46,-1.78,-1.78,-1.78
의료·정밀기기,매출액경상이익률 (%),36.62,36.62,36.62,-6.69,-6.69,-6.69
의료·정밀기기,매출액이익률 (%),27.3,27.3,27.3,-14.9,-14.9,-14.9
의료·정밀기기,매출액증가율 (%),1.83,1.83,1.83,-64.86,-64.86,-64.86
운수장비,회사수 (개),58,58,58,58,58,58
운수장비,매출액 (백만원),208460819,208460819,208460819,253715538,253715538,253715538
운수장비,영업이익 (백만원),5409154,5409154,5409154,16262863,16262863,16262863
운수장비,경상이익 (백만원),7119006,7119006,7119006,23847916,23847916,23847916
운수장비,당기순이익 (백만원),5386035,5386035,5386035,19220174,19220174,19220174
운수장비,납입자본이익률 (%),55.14,55.14,55.14,179,179,179
운수장비,자기자본이익률 (%),3.78,3.78,3.78,12.05,12.05,12.05
